email,first_name,last_name,course_id,grade,marks
sam@mycsu.edu,Sam,Carpenter,DATA200,B,85
lily@mycsu.edu,Lily,Nguyen,DATA210,B,88
bpisaac@ucsc.edu,benita,isaac,1,A,90
student0@mycsu.edu,First0,Last0,DATA200,A,0
student1@mycsu.edu,First1,Last1,DATA210,A,7
student2@mycsu.edu,First2,Last2,DATA220,A,14
student3@mycsu.edu,First3,Last3,DATA200,B,21
student4@mycsu.edu,First4,Last4,DATA210,B,28
student5@mycsu.edu,First5,Last5,DATA220,B,35
student6@mycsu.edu,First6,Last6,DATA200,B,42
student7@mycsu.edu,First7,Last7,DATA210,C,49
student8@mycsu.edu,First8,Last8,DATA220,C,56
student9@mycsu.edu,First9,Last9,DATA200,C,63
student10@mycsu.edu,First10,Last10,DATA210,A,70
student11@mycsu.edu,First11,Last11,DATA220,A,77
student12@mycsu.edu,First12,Last12,DATA200,A,84
student13@mycsu.edu,First13,Last13,DATA210,B,91
student14@mycsu.edu,First14,Last14,DATA220,B,98
student15@mycsu.edu,First15,Last15,DATA200,B,4
student16@mycsu.edu,First16,Last16,DATA210,B,11
student17@mycsu.edu,First17,Last17,DATA220,C,18
student18@mycsu.edu,First18,Last18,DATA200,C,25
student19@mycsu.edu,First19,Last19,DATA210,C,32
student20@mycsu.edu,First20,Last20,DATA220,A,39
student21@mycsu.edu,First21,Last21,DATA200,A,46
student22@mycsu.edu,First22,Last22,DATA210,A,53
student23@mycsu.edu,First23,Last23,DATA220,B,60
student24@mycsu.edu,First24,Last24,DATA200,B,67
student25@mycsu.edu,First25,Last25,DATA210,B,74
student26@mycsu.edu,First26,Last26,DATA220,B,81
student27@mycsu.edu,First27,Last27,DATA200,C,88
student28@mycsu.edu,First28,Last28,DATA210,C,95
student29@mycsu.edu,First29,Last29,DATA220,C,1
student30@mycsu.edu,First30,Last30,DATA200,A,8
student31@mycsu.edu,First31,Last31,DATA210,A,15
student32@mycsu.edu,First32,Last32,DATA220,A,22
student33@mycsu.edu,First33,Last33,DATA200,B,29
student34@mycsu.edu,First34,Last34,DATA210,B,36
student35@mycsu.edu,First35,Last35,DATA220,B,43
student36@mycsu.edu,First36,Last36,DATA200,B,50
student37@mycsu.edu,First37,Last37,DATA210,C,57
student38@mycsu.edu,First38,Last38,DATA220,C,64
student39@mycsu.edu,First39,Last39,DATA200,C,71
student40@mycsu.edu,First40,Last40,DATA210,A,78
student41@mycsu.edu,First41,Last41,DATA220,A,85
student42@mycsu.edu,First42,Last42,DATA200,A,92
student43@mycsu.edu,First43,Last43,DATA210,B,99
student44@mycsu.edu,First44,Last44,DATA220,B,5
student45@mycsu.edu,First45,Last45,DATA200,B,12
student46@mycsu.edu,First46,Last46,DATA210,B,19
student47@mycsu.edu,First47,Last47,DATA220,C,26
student48@mycsu.edu,First48,Last48,DATA200,C,33
student49@mycsu.edu,First49,Last49,DATA210,C,40
student50@mycsu.edu,First50,Last50,DATA220,A,47
student51@mycsu.edu,First51,Last51,DATA200,A,54
student52@mycsu.edu,First52,Last52,DATA210,A,61
student53@mycsu.edu,First53,Last53,DATA220,B,68
student54@mycsu.edu,First54,Last54,DATA200,B,75
student55@mycsu.edu,First55,Last55,DATA210,B,82
student56@mycsu.edu,First56,Last56,DATA220,B,89
student57@mycsu.edu,First57,Last57,DATA200,C,96
student58@mycsu.edu,First58,Last58,DATA210,C,2
student59@mycsu.edu,First59,Last59,DATA220,C,9
